,Model A,Model B,Model C
219,double_derivative_pressure_50m:hPa_dd,squared_fresh_snow_12h:cm_2,elevation:m
220,double_derivative_is_day:idx_dd,squared_fresh_snow_1h:cm_2,fresh_snow_1h:cm
221,double_integral_msl_pressure:hPa_dintegral,squared_fresh_snow_3h:cm_2,fresh_snow_3h:cm
222,double_derivative_fresh_snow_12h:cm_dd,squared_fresh_snow_6h:cm_2,fresh_snow_6h:cm
223,derivative_precip_type_5min:idx_d,squared_prob_rime:p_2,is_in_shadow:idx
224,derivative_is_day:idx_d,squared_rain_water:kgm2_2,prob_rime:p
225,double_derivative_wind_speed_w_1000hPa:ms_dd,squared_snow_density:kgm3_2,snow_density:kgm3
226,derivative_wind_speed_w_1000hPa:ms_d,squared_snow_drift:idx_2,snow_drift:idx
227,double_derivative_precip_type_5min:idx_dd,squared_snow_melt_10min:mm_2,super_cooled_liquid_water:kgm2
228,fresh_snow_6h:cm,squared_wind_speed_w_1000hPa:ms_2,wind_speed_w_1000hPa:ms
229,prob_rime:p,derivative_absolute_humidity_2m:gm3_d,squared_elevation:m_2
230,double_integral_wind_speed_w_1000hPa:ms_dintegral,derivative_air_density_2m:kgm3_d,squared_fresh_snow_12h:cm_2
231,squared_fresh_snow_6h:cm_2,derivative_dew_or_rime:idx_d,squared_fresh_snow_3h:cm_2
232,derivative_snow_depth:cm_d,derivative_dew_point_2m:K_d,squared_fresh_snow_6h:cm_2
233,squared_fresh_snow_1h:cm_2,derivative_effective_cloud_cover:p_d,squared_is_in_shadow:idx_2
234,double_integral_snow_melt_10min:mm_dintegral,derivative_elevation:m_d,squared_snow_density:kgm3_2
235,squared_fresh_snow_3h:cm_2,derivative_fresh_snow_1h:cm_d,squared_snow_drift:idx_2
236,derivative_super_cooled_liquid_water:kgm2_d,derivative_fresh_snow_3h:cm_d,squared_super_cooled_liquid_water:kgm2_2
237,snow_melt_10min:mm,derivative_fresh_snow_6h:cm_d,squared_wind_speed_w_1000hPa:ms_2
238,integral_snow_melt_10min:mm_integral,derivative_msl_pressure:hPa_d,derivative_dew_or_rime:idx_d
239,double_derivative_fresh_snow_1h:cm_dd,derivative_precip_type_5min:idx_d,derivative_effective_cloud_cover:p_d
240,derivative_t_1000hPa:K_d,derivative_prob_rime:p_d,derivative_elevation:m_d
241,elevation:m,derivative_sfc_pressure:hPa_d,derivative_fresh_snow_1h:cm_d
242,fresh_snow_3h:cm,derivative_snow_density:kgm3_d,derivative_fresh_snow_3h:cm_d
243,is_in_shadow:idx,derivative_snow_depth:cm_d,derivative_prob_rime:p_d
244,rain_water:kgm2,derivative_snow_drift:idx_d,derivative_rain_water:kgm2_d
245,snow_density:kgm3,derivative_snow_melt_10min:mm_d,derivative_snow_density:kgm3_d
246,snow_drift:idx,derivative_super_cooled_liquid_water:kgm2_d,derivative_snow_depth:cm_d
247,wind_speed_w_1000hPa:ms,derivative_wind_speed_10m:ms_d,derivative_snow_drift:idx_d
248,squared_elevation:m_2,derivative_wind_speed_w_1000hPa:ms_d,derivative_super_cooled_liquid_water:kgm2_d
249,squared_rain_water:kgm2_2,double_derivative_dew_or_rime:idx_dd,derivative_wind_speed_10m:ms_d
250,squared_snow_density:kgm3_2,double_derivative_elevation:m_dd,derivative_wind_speed_w_1000hPa:ms_d
